filename,prompt,label
raw_0001.png,"A cat holding a red umbrella in the rain, realistic photo, detailed, natural lighting",normal
raw_0002.png,"A farmer harvesting tomatoes in a greenhouse, realistic photo, detailed, natural lighting",normal
raw_0003.png,"A fox sleeping under a tree in autumn, realistic photo, detailed, natural lighting",normal
raw_0004.png,"A musician playing a violin on a quiet street, realistic photo, detailed, natural lighting",normal
raw_0005.png,"A doctor checking a patient in a clean clinic, realistic photo, detailed, natural lighting",normal
raw_0006.png,"A boy flying a kite on a windy beach, realistic photo, detailed, natural lighting",normal
raw_0007.png,"A panda eating bamboo in a misty forest, realistic photo, detailed, natural lighting",normal
raw_0008.png,"A photographer taking pictures of a mountain lake, realistic photo, detailed, natural lighting",normal
raw_0009.png,"A baker decorating a cake in a cozy bakery, realistic photo, detailed, natural lighting",normal
raw_0010.png,"A turtle crossing a sandy path near the ocean, realistic photo, detailed, natural lighting",normal
raw_0011.png,"A librarian organizing books in a large library, realistic photo, detailed, natural lighting",normal
raw_0012.png,"A robot painting a sunflower in a small garden, realistic photo, detailed, natural lighting",normal
raw_0013.png,"A woman watering plants on a rooftop garden, realistic photo, detailed, natural lighting",normal
raw_0014.png,"A firefighter rescuing a kitten from a tree, realistic photo, detailed, natural lighting",normal
raw_0015.png,"A student typing on a laptop in a coffee shop, realistic photo, detailed, natural lighting",normal
raw_0016.png,"A deer drinking water beside a waterfall, realistic photo, detailed, natural lighting",normal
raw_0017.png,"A pilot standing beside a small airplane at sunset, realistic photo, detailed, natural lighting",normal
raw_0018.png,"A grandfather teaching a child to play chess in a park, realistic photo, detailed, natural lighting",normal
raw_0019.png,"A rabbit hiding behind flowers in a spring meadow, realistic photo, detailed, natural lighting",normal
raw_0020.png,"A swimmer diving into a clear blue pool, realistic photo, detailed, natural lighting",normal
raw_0021.png,"A painter sketching a bridge beside a river, realistic photo, detailed, natural lighting",normal
raw_0022.png,"A mechanic repairing a motorcycle in a garage, realistic photo, detailed, natural lighting",normal
raw_0023.png,"A teacher carrying a stack of books across a quiet campus, realistic photo, detailed, natural lighting",normal
raw_0024.png,"A squirrel carrying an acorn along a wooden fence, realistic photo, detailed, natural lighting",normal
raw_0025.png,"A nurse preparing medicine in a hospital room, realistic photo, detailed, natural lighting",normal
raw_0026.png,"A magician holding a glowing card on a stage, realistic photo, detailed, natural lighting",normal
raw_0027.png,"A businessman waiting for a taxi in the city at night, realistic photo, detailed, natural lighting",normal
raw_0028.png,"A monkey opening a coconut in a tropical jungle, realistic photo, detailed, natural lighting",normal
raw_0029.png,"A dancer practicing in a bright studio, realistic photo, detailed, natural lighting",normal
raw_0030.png,"A fisherman casting a line from a quiet boat, realistic photo, detailed, natural lighting",normal
raw_0031.png,"A child building a sandcastle by the sea, realistic photo, detailed, natural lighting",normal
raw_0032.png,"A knight riding a horse through a foggy field, realistic photo, detailed, natural lighting",normal
raw_0033.png,"A goose walking across a village road in the morning, realistic photo, detailed, natural lighting",normal
raw_0034.png,"A child chasing a yellow balloon in a city park, realistic photo, detailed, natural lighting",normal
raw_0035.png,"A programmer working at a desk with two monitors, realistic photo, detailed, natural lighting",normal
raw_0036.png,"A chef cutting fresh vegetables in a modern kitchen, realistic photo, detailed, natural lighting",normal
raw_0037.png,"A dog watching a butterfly in a flower field, realistic photo, detailed, natural lighting",normal
raw_0038.png,"A scientist examining a glowing crystal in a laboratory, realistic photo, detailed, natural lighting",normal
raw_0039.png,"A cyclist pushing a bicycle up a steep hill, realistic photo, detailed, natural lighting",normal
raw_0040.png,"A girl reading a map at a train station, realistic photo, detailed, natural lighting",normal
